Sample ID	Species	Treatment	Timepoint	Colony	Collection date
tnt1	Agaricia tenuifolia	fully closed	before	24	8/6/22
tnt2	Siderastrea siderea	fully closed	before	12	8/6/22
tnt3	Siderastrea siderea	fully closed	after	4	8/13/22
tnt4	Siderastrea siderea	fully closed	after	16	8/13/22
tnt5	Agaricia tenuifolia	partially closed	after	28	8/9/22
tnt6	Agaricia tenuifolia	partially closed	recovery	8	8/12/22
tnt7	Siderastrea siderea	fully closed	recovery	20	8/12/22
tnt8	Siderastrea siderea	partially closed	recovery	32	8/16/22
tnt9	Agaricia tenuifolia	partially closed	before	11	8/6/22
tnt10	Siderastrea siderea	partially closed	before	23	8/6/22
tnt11	Agaricia tenuifolia	open	after	3	8/9/22
tnt12	Siderastrea siderea	partially closed	after	15	8/13/22
tnt13	Siderastrea siderea	fully closed	after	27	8/13/22
tnt14	Siderastrea siderea	open	recovery	7	8/12/22
tnt15	Siderastrea siderea	open	recovery	19	8/12/22
tnt16	Siderastrea siderea	fully closed	recovery	31	8/12/22
tnt17	Agaricia tenuifolia	open	before	10	8/6/22
tnt18	Siderastrea siderea	open	after	14	8/13/22
tnt19	Agaricia tenuifolia	partially closed	before	22	8/6/22
tnt20	Agaricia tenuifolia	partially closed	after	2	8/9/22
tnt21	Agaricia tenuifolia	open	after	26	8/9/22
tnt22	Siderastrea siderea	partially closed	recovery	6	8/16/22
tnt23	Agaricia tenuifolia	fully closed	recovery	18	8/12/22
tnt24	Agaricia tenuifolia	fully closed	recovery	30	8/12/22
tnt25	Agaricia tenuifolia	open	before	21	8/6/22
tnt26	Siderastrea siderea	partially closed	before	9	8/6/22
tnt27	Siderastrea siderea	open	after	25	8/13/22
tnt28	Agaricia tenuifolia	fully closed	recovery	5	8/12/22
tnt29	Agaricia tenuifolia	open	recovery	17	8/12/22
tnt30	Siderastrea siderea	open	recovery	29	8/16/22
tnt31	Agaricia tenuifolia	fully closed	after	1	8/9/22
tnt32	Siderastrea siderea	fully closed	recovery	16	8/9/22
tnt33	Siderastrea siderea	fully closed	recovery	4	8/12/22
tnt34	Siderastrea siderea	fully closed	after	12	8/13/22
tnt35	Siderastrea siderea	partially closed	before	32	8/6/22
tnt36	Siderastrea siderea	fully closed	before	20	8/6/22
tnt37	Agaricia tenuifolia	fully closed	after	13	8/9/22
tnt38	Agaricia tenuifolia	partially closed	before	8	8/6/22
